h,f1
0.908000,0.424129
0.909000,0.421354
0.910000,0.421354
0.911000,0.421354
0.912000,0.421354
0.913000,0.421354
0.914000,0.421354
0.915000,0.421354
0.916000,0.421354
0.917000,0.421354
0.918000,0.421354
0.919000,0.421354
0.920000,0.421354
0.921000,0.416864
0.922000,0.416864
0.923000,0.410150
0.924000,0.410150
0.925000,0.410150
0.926000,0.406562
0.927000,0.406562
0.928000,0.404995
0.929000,0.401383
0.930000,0.398218
0.931000,0.398218
0.932000,0.398218
0.933000,0.398218
0.934000,0.390852
0.935000,0.391374
0.936000,0.384620
0.937000,0.386832
0.938000,0.387396
0.939000,0.387396
0.940000,0.387396
0.941000,0.387396
0.942000,0.387396
0.943000,0.383635
0.944000,0.379842
0.945000,0.379842
0.946000,0.379842
0.947000,0.376639
0.948000,0.376639
0.949000,0.376639
0.950000,0.372784
0.951000,0.372784
0.952000,0.368896
0.953000,0.369554
0.954000,0.369554
0.955000,0.366159
0.956000,0.358263
0.957000,0.358263
0.958000,0.358263
0.959000,0.354264
0.960000,0.350229
0.961000,0.350229
0.962000,0.350068
0.963000,0.350068
0.964000,0.350068
0.965000,0.350068
0.966000,0.350068
0.967000,0.349914
0.968000,0.342233
0.969000,0.338131
0.970000,0.338131
0.971000,0.333992
0.972000,0.333992
0.973000,0.335614
0.974000,0.331434
0.975000,0.331434
0.976000,0.327214
0.977000,0.327214
0.978000,0.327214
0.979000,0.327214
0.980000,0.327214
0.981000,0.327214
0.982000,0.327214
0.983000,0.329532
0.984000,0.329532
0.985000,0.331850
0.986000,0.331850
0.987000,0.331850
0.988000,0.331850
0.989000,0.331850
0.990000,0.331850
0.991000,0.327551
0.992000,0.327551
0.993000,0.327551
0.994000,0.324793
0.995000,0.324793
0.996000,0.324793
0.997000,0.324793
0.998000,0.324793
0.999000,0.324793
