k,f1
102.000000,0.741931
102.000000,0.741931
102.000000,0.741931
103.000000,0.735855
103.000000,0.735855
103.000000,0.735855
104.000000,0.735855
104.000000,0.735855
104.000000,0.735855
104.000000,0.735855
105.000000,0.735813
105.000000,0.735813
105.000000,0.735813
106.000000,0.737891
106.000000,0.737891
106.000000,0.737891
107.000000,0.737891
107.000000,0.737891
107.000000,0.737891
108.000000,0.731804
108.000000,0.731804
108.000000,0.731804
109.000000,0.731804
109.000000,0.731804
109.000000,0.731804
110.000000,0.724950
110.000000,0.724950
110.000000,0.724950
111.000000,0.724950
111.000000,0.724950
111.000000,0.724950
112.000000,0.727520
112.000000,0.727520
112.000000,0.727520
113.000000,0.727520
113.000000,0.727520
113.000000,0.727520
114.000000,0.729472
114.000000,0.729472
114.000000,0.729472
115.000000,0.729472
115.000000,0.729472
115.000000,0.729472
116.000000,0.729472
116.000000,0.729472
116.000000,0.729472
117.000000,0.729472
117.000000,0.729472
117.000000,0.729472
117.000000,0.729472
118.000000,0.729472
118.000000,0.729472
118.000000,0.729472
119.000000,0.722990
119.000000,0.722990
119.000000,0.722990
120.000000,0.722990
120.000000,0.722990
120.000000,0.722990
121.000000,0.724791
121.000000,0.724791
121.000000,0.724791
122.000000,0.724791
122.000000,0.724791
122.000000,0.724791
123.000000,0.721781
123.000000,0.721781
123.000000,0.721781
124.000000,0.721781
124.000000,0.721781
124.000000,0.721781
125.000000,0.721781
125.000000,0.721781
125.000000,0.721781
126.000000,0.721781
126.000000,0.721781
126.000000,0.721781
127.000000,0.718752
127.000000,0.718752
127.000000,0.718752
128.000000,0.718752
128.000000,0.718752
128.000000,0.718752
129.000000,0.718752
129.000000,0.718752
129.000000,0.718752
130.000000,0.718752
130.000000,0.718752
130.000000,0.718752
130.000000,0.718752
131.000000,0.718752
131.000000,0.718752
131.000000,0.718752
132.000000,0.718752
132.000000,0.718752
132.000000,0.718752
133.000000,0.718752
133.000000,0.718752
133.000000,0.718752
134.000000,0.715704
134.000000,0.715704
134.000000,0.715704
135.000000,0.715704
135.000000,0.715704
135.000000,0.715704
136.000000,0.708437
136.000000,0.708437
136.000000,0.708437
137.000000,0.708437
137.000000,0.708437
137.000000,0.708437
138.000000,0.708138
138.000000,0.708138
138.000000,0.708138
139.000000,0.708138
139.000000,0.708138
139.000000,0.708138
140.000000,0.708138
140.000000,0.708138
140.000000,0.708138
141.000000,0.708138
141.000000,0.708138
141.000000,0.708138
142.000000,0.708138
142.000000,0.708138
142.000000,0.708138
143.000000,0.708138
143.000000,0.708138
143.000000,0.708138
143.000000,0.708138
144.000000,0.708138
144.000000,0.708138
144.000000,0.708138
145.000000,0.708138
145.000000,0.708138
145.000000,0.708138
146.000000,0.708138
146.000000,0.708138
146.000000,0.708138
147.000000,0.708138
147.000000,0.708138
147.000000,0.708138
148.000000,0.708138
148.000000,0.708138
148.000000,0.708138
149.000000,0.708138
149.000000,0.708138
149.000000,0.708138
150.000000,0.708138
150.000000,0.708138
150.000000,0.708138
151.000000,0.708138
151.000000,0.708138
151.000000,0.708138
152.000000,0.705076
152.000000,0.705076
152.000000,0.705076
153.000000,0.705076
153.000000,0.705076
153.000000,0.705076
154.000000,0.705076
154.000000,0.705076
154.000000,0.705076
155.000000,0.704807
155.000000,0.704807
155.000000,0.704807
156.000000,0.704807
156.000000,0.704807
156.000000,0.704807
156.000000,0.704807
157.000000,0.704807
157.000000,0.704807
157.000000,0.704807
158.000000,0.704807
158.000000,0.704807
158.000000,0.704807
159.000000,0.704807
159.000000,0.704807
159.000000,0.704807
160.000000,0.704807
160.000000,0.704807
160.000000,0.704807
161.000000,0.704807
161.000000,0.704807
161.000000,0.704807
162.000000,0.704807
162.000000,0.704807
162.000000,0.704807
163.000000,0.704566
163.000000,0.704566
163.000000,0.704566
164.000000,0.704566
164.000000,0.704566
164.000000,0.704566
165.000000,0.704566
165.000000,0.704566
165.000000,0.704566
166.000000,0.701487
166.000000,0.701487
166.000000,0.701487
167.000000,0.701487
167.000000,0.701487
167.000000,0.701487
168.000000,0.698545
168.000000,0.698545
168.000000,0.698545
169.000000,0.695451
169.000000,0.695451
169.000000,0.695451
