h,f1
0.242000,0.558611
0.243000,0.558611
0.244000,0.558611
0.245000,0.558611
0.246000,0.553473
0.247000,0.553473
0.248000,0.553284
0.249000,0.553284
0.250000,0.542893
0.251000,0.542893
0.252000,0.537499
0.253000,0.537176
0.254000,0.537176
0.255000,0.537176
0.256000,0.531578
0.257000,0.531215
0.258000,0.531215
0.259000,0.528467
0.260000,0.522649
0.261000,0.522649
0.262000,0.522649
0.263000,0.522742
0.264000,0.517200
0.265000,0.511229
0.266000,0.511229
0.267000,0.511229
0.268000,0.511341
0.269000,0.505730
0.270000,0.502894
0.271000,0.502894
0.272000,0.502894
0.273000,0.502894
0.274000,0.502894
0.275000,0.502894
0.276000,0.496763
0.277000,0.496763
0.278000,0.496763
0.279000,0.490444
0.280000,0.490444
0.281000,0.481084
0.282000,0.478219
0.283000,0.471501
0.284000,0.471501
0.285000,0.471501
0.286000,0.468619
0.287000,0.468753
0.288000,0.465846
0.289000,0.465846
0.290000,0.465846
0.291000,0.465846
0.292000,0.465846
0.293000,0.465846
0.294000,0.462915
0.295000,0.462108
0.296000,0.462108
0.297000,0.462108
0.298000,0.459158
0.299000,0.459158
0.300000,0.456183
0.301000,0.456183
0.302000,0.456183
0.303000,0.453319
0.304000,0.453319
0.305000,0.450289
0.306000,0.450289
0.307000,0.444149
0.308000,0.441037
0.309000,0.437897
0.310000,0.437897
0.311000,0.437897
0.312000,0.437897
0.313000,0.434844
0.314000,0.434844
0.315000,0.434844
0.316000,0.434844
0.317000,0.434844
0.318000,0.431637
0.319000,0.431637
0.320000,0.431637
0.321000,0.428399
0.322000,0.428651
0.323000,0.425507
0.324000,0.422178
0.325000,0.422328
0.326000,0.422328
0.327000,0.422328
0.328000,0.422328
0.329000,0.422328
0.330000,0.418954
0.331000,0.418954
0.332000,0.418954
0.333000,0.418954
0.334000,0.418954
0.335000,0.415691
0.336000,0.415691
0.337000,0.415691
0.338000,0.415691
0.339000,0.415691
0.340000,0.415691
0.341000,0.415691
0.342000,0.412385
0.343000,0.409034
0.344000,0.409034
0.345000,0.405472
0.346000,0.405472
0.347000,0.405635
0.348000,0.405635
0.349000,0.402185
0.350000,0.402572
0.351000,0.399074
0.352000,0.395307
0.353000,0.395307
0.354000,0.395307
0.355000,0.387624
0.356000,0.383704
0.357000,0.383704
0.358000,0.383704
0.359000,0.383704
0.360000,0.383704
0.361000,0.383704
0.362000,0.383704
0.363000,0.379731
0.364000,0.379731
0.365000,0.379869
0.366000,0.379869
0.367000,0.379869
0.368000,0.379869
0.369000,0.375821
0.370000,0.371829
0.371000,0.371829
0.372000,0.371829
0.373000,0.371829
0.374000,0.367750
0.375000,0.363476
0.376000,0.363476
0.377000,0.359213
0.378000,0.359308
0.379000,0.359308
0.380000,0.359308
0.381000,0.359308
0.382000,0.354847
0.383000,0.350314
0.384000,0.350314
0.385000,0.345707
0.386000,0.345707
0.387000,0.345707
0.388000,0.341023
0.389000,0.336259
0.390000,0.336259
0.391000,0.336259
0.392000,0.336259
0.393000,0.336220
0.394000,0.336196
0.395000,0.336196
0.396000,0.336196
0.397000,0.331281
0.398000,0.331235
0.399000,0.331235
0.400000,0.326194
0.401000,0.326194
0.402000,0.326194
0.403000,0.326194
0.404000,0.326194
0.405000,0.326194
